"PlayerID","Name","Salary"
204,"Scott Livingstone",120
205,"Gary Pettis",109
206,"Paul Molitor",3453
207,"Robin Yount",3200
208,"B.J. Surhoff",2530
209,"Franklin Stubbs",2167
210,"Jim Gantner",1150
211,"Bill Spiers",750
212,"Greg Vaughn",500
213,"Darryl Hamilton",395
214,"Scott Fletcher",300
215,"Kevin Seitzer",284
216,"Dante Bichette",230
217,"Tim McIntosh",109
218,"Danny Tartabull",5300
219,"Don Mattingly",3620
220,"Matt Nokes",2500
221,"Jesse Barfield",2167
222,"Roberto Kelly",2150
223,"Mike Gallego",1950
224,"Mel Hall",1300
225,"Randy Velarde",360
226,"Charlie Hayes",280
227,"Kevin Maas",255
228,"Pat Kelly",147
229,"Bernie Williams",125
230,"John Ramos",109
231,"Joe Carter",3742
232,"Kelly Griffin",3633
233,"Roberto Alomar",2983
234,"Devon White",2383
235,"Dave Winfield",2300
236,"Candy Maldonado",1375
237,"Pat Borders",1000
238,"Manuel Lee",1000
239,"Pat Tabler",900
240,"Rance Mulliniks",775
241,"Alfredo Griffin",600
242,"John Olerud",387
243,"Ed Sprague",117
244,"Gary Gaetti",2700
245,"Hubie Brooks",2317
246,"Luis Polonia",1650
247,"Junior Felix",640
248,"Luis Sojo",190
249,"Ron Tingley",170
250,"Gary DiSarcina",135
251,"John Orton",130
252,"Lee Stevens",130
253,"George Bell",3650
254,"Steve Sax",3575
255,"Tim Raines",3500
256,"Dan Pasqua",2500
257,"Ozzie Guillen",1900
258,"Carlton Fisk",1350
259,"Robin Ventura",740
260,"Ron Karkovice",650
261,"Frank Thomas",620
262,"Lance Johnson",565
263,"Joey Cora",235
264,"Shawn Abner",225
265,"Craig Grebeck",200
266,"Mike Huff",145
267,"Shawn Jeter",120
268,"Bo Jackson",109
269,"Wally Joyner",4200
270,"Kevin McReynolds",3417
271,"George Brett",3100
272,"Jim Eisenreich",1650
273,"Gregg Jeffries",1150
274,"Bob Melvin",900
275,"Mike Macfarlane",740
276,"Keith Miller",575
277,"Chris Gwynn",425
278,"Curtis Wilkerson",400
279,"Gary Thurman",287
280,"Brian McRae",275
281,"Terry Shumpert",183
282,"Brent Mayne",170
283,"David Howard",153
284,"Juan Samuel",109
285,"Kent Hrbek",3100
286,"Kirby Puckett",2992
287,"Chili Davis",2800
288,"Brian Harper",2500
289,"Greg Gagne",1933
290,"Mike Pagliarulo",1200
291,"Shane Mack",1075
292,"Gene Larkin",950
293,"Randy Bush",450
294,"Chuck Knoblauch",360
295,"Scott Leius",175
296,"Pedro Munoz",155
297,"Ruben Sierra",5000
298,"Rickey Henderson",3250
299,"Mark McGwire",2825
300,"Dave Henderson",2600
301,"Terry Steinbach",2050
302,"Harold Baines",1583
303,"Carney Lansford",1150
304,"Willie Wilson",1100
305,"Walt Weiss",760
306,"Jamie Quirk",525
307,"Randy Ready",500
308,"Lance Blankenship",205
309,"Mike Bordick",185
310,"Scott Brosius",115
311,"Kevin Mitchell",3750
312,"Pete O'Brien",2188
313,"Harold Reynolds",2167
314,"Dave Valle",2167
315,"Ken Griffey",2050
316,"Jay Buhner",1445
317,"Henry Cotto",875
318,"Edgar Martinez",560
319,"Omar Vizquel",360
320,"Dave Cochrane",162
321,"Tino Martinez",133
322,"Lance Parrish",109
323,"Jose Canseco",4300
324,"Rafael Palmeiro",3850
325,"Julio Franco",2387
326,"Brian Downing",950
327,"Geno Petralli",675
328,"Dickie Thon",600
329,"Juan Gonzalez",287
330,"Kevin Reimer",230
331,"Jack Daugherty",215
332,"Jeff Huson",183
333,"John Russell",170
334,"Mario Diaz",160
335,"Dean Palmer",142
336,"Ivan Rodriguez",140
337,"Monty Fariss",109
